Göstərici,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
yerli əlaqə (min sərnişin),7185.0,5137.0,2826.0,2095.0,3631.0,2649.0,2326.0,1832.0,1716.0,2232.0,2164.0,2363.0,3164.0,4486.0,5938.0,5751.0,5899.0,5170.0,5008.0,4792.0,4392.0,4092.0,4268.0,4021.0,3900.0,4038.0,3650.0,4575.0
yerli əlaqə (min ton),3269.0,3457.0,3038.0,2817.0,3297.0,3856.0,4057.0,4116.0,3995.0,6232.0,5870.0,4964.0,4372.0,3597.0,3620.0,6613.0,7190.0,7417.0,7334.0,5525.0,5376.0,4100.0,3854.0,3592.0,5510.0,6149.0,6000.0,6493.0
yerli əlaqə (mln sərnişin/km),314.0,194.0,104.0,161.0,463.0,400.0,414.0,402.0,439.0,531.0,519.0,509.0,584.0,834.0,911.0,894.0,938.0,805.0,760.0,685.0,574.0,506.0,463.0,447.0,392.0,478.0,459.0,557.0
yerli əlaqə (mln ton km),602.0,734.0,727.0,604.0,793.0,887.0,881.0,974.0,1014.0,1446.0,1331.0,1160.0,899.0,786.0,851.0,1727.0,1934.0,2023.0,1926.0,1378.0,1259.0,906.0,853.0,1385.0,1318.0,1521.0,1453.0,1573.0
yük daşınmasına (min manat),1835553.0,3323161.0,2831815.0,2354497.0,1273033.0,1451140.0,992168.0,601140.0,448755.0,455603.0,381071.0,279201.0,266928.0,185520.0,139403.0,147277.0,127146.0,98725.0,87124.0,78431.0,51816.0,30378.0,28419.0,30359.0,34072.0,12002.0,3068.0,2837.0
yük daşınmasına (min manat),202303.9,217666.6,173744.4,165743.2,166464.6,171413.9,159354.0,170702.8,151917.3,116654.0,105351.0,102949.0,98447.6,90273.2,101056.1,88913.9,75282.0,77806.0,64983.0,65490.0,50046.2,43427.0,45299.0,46257.0,42001.0,41505.2,40533.0,36711.0
yük daşınmasına (min manat),174957.0,251589.0,247469.0,273927.0,260646.0,248608.0,345263.0,245551.0,151482.0,167813.0,109841.0,138147.0,125151.0,151616.0,145011.0,167958.0,143071.0,104756.0,104671.0,78220.0,65614.0,59633.0,55374.0,61232.0,58616.0,55979.0,49362.0,26613.0
yük daşınmasından (min manat),2152229.0,3642938.0,3240291.0,2691846.0,1378157.0,1538459.0,1185343.0,717528.0,531151.0,539196.0,517410.0,392242.0,376058.0,256551.0,176066.0,179351.0,172768.0,109586.0,82847.0,77791.0,71976.0,29891.0,28250.0,30730.0,33198.0,41279.0,10553.0,9435.0
yük daşınmasından (min manat),248997.9,242633.6,175601.3,167858.8,178200.0,168951.5,178792.6,159397.8,93177.4,101329.2,96642.0,113068.0,105497.0,106055.4,121586.0,115115.8,99658.0,110047.0,95708.5,99743.0,89318.8,83313.0,71135.0,58627.0,51179.0,54073.4,50565.0,44542.6
yük daşınmasından (min manat),430317.0,394140.0,282914.0,270579.0,283172.0,256167.0,264962.0,249277.0,219947.0,221851.0,208180.0,186087.0,176508.0,137994.0,120207.0,164275.0,151629.0,147210.0,131239.0,104553.0,109585.0,87202.0,77093.0,80868.0,66732.0,72072.0,58055.0,51514.0
